,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025,,,,,,,,,,,,2026,,,,,,,,,,,
Período:,dezembro,janeiro,fevereiro,março,abril,maio,junho,julho,agosto,setembro,outubro,novembro,dezembro,janeiro,fevereiro,março,abril,maio,junho,julho,agosto,setembro,outubro,novembro,dezembro
,,,,,,,,,,,,,,,,,,,,,,,,,
Total:,"-4772,84","-6145,91","-6074,52","-7263,74","-6803,9","-6521,1","-12440,75","-5608,63","-5879,58","-5804,67","-6087,6","-4376,37","-4188,86","-3818,67","-3745,87","-3543,91","-3488,79","-3488,79","-3488,79","-3488,79","-3388,79","-3388,79","-3388,79","-3388,79","-3388,79"
,,,,,,,,,,,,,,,,,,,,,,,,,
Despesas com moradia:,,,,,,,,,,,,,,,,,,,,,,,,,
Água,"-497,83","-874,61","-792,72","-1435,55","-1155,66","-447,66","-721,88","-596,18","-581,61","-546,68","-558,68",,,,,,,,,,,,,,
Luz,"-571,97","-817,8","-764,43","-1040,37","-751,3","-681,02","-879,91","-869,13","-757,26","-897,61",-839,,,,,,,,,,,,,,
Aluguel,-2400,-2400,-2400,-2400,-2400,-2400,-2400,-2400,-2400,-2400,-2700,-2700,-2700,-2700,-2700,-2700,-2700,-2700,-2700,-2700,-2700,-2700,-2700,-2700,-2700
IPTU,"-153,16",0,0,"-164,43","-164,43","-164,43","-164,43","-164,43","-164,43","-164,43","-164,43","-164,43","-164,43",0,0,0,0,0,0,0,0,0,0,0,0
IR,"-146,84",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxa de lixo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sky (Zé Guedia),-130,"-126,23","-130,05","-131,26","-131,26","-131,26","-131,26","-131,26","-131,26","-131,26","-131,26","-131,26","-131,26","-131,26","-131,26","-131,26","-131,26","-131,26","-131,26","-131,26","-131,26","-131,26","-131,26","-131,26","-131,26"
Infovale,"-89,9","-62,93","-89,9","-89,9","-89,9","-89,9","-99,9","-99,9","-89,9","-89,9","-89,9","-89,9","-89,9","-89,9","-89,9","-89,9","-89,9","-89,9","-89,9","-89,9","-89,9","-89,9","-89,9","-89,9","-89,9"
,,,,,,,,,,,,,,,,,,,,,,,,,
Despesas com saúde:,,,,,,,,,,,,,,,,,,,,,,,,,
Convênio (Angelus),"-109,45","-116,01","-116,01","-152,13","-149,15","-149,15","-149,15","-149,15","-149,15","-149,15","-149,15","-149,15","-149,15",,,,,,,,,,,,
Unimed (Gordo),"-346,19","-339,08","-372,16","-339,08","-361,28","-526,43","-361,28","-465,43","-433,47","-447,08","-467,63","-467,63","-467,63","-467,63","-467,63","-467,63","-467,63","-467,63","-467,63","-467,63","-467,63","-467,63","-467,63","-467,63","-467,63"
,,,,,,,,,,,,,,,,,,,,,,,,,
Despesas com educação:,,,,,,,,,,,,,,,,,,,,,,,,,
Curso,,,,,,"-89,25","-89,25","-89,25","-89,25","-89,25","-89,25","-89,25","-89,25","-89,25","-89,25",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Despesas com estética:,,,,,,,,,,,,,,,,,,,,,,,,,
Nubank (Mãe),"-327,5","-362,25","-362,25","-464,02","-553,92",-795,"-782,79","-643,9","-669,68","-889,31","-898,3","-584,75","-397,24","-340,63","-267,83","-155,12",-100,-100,-100,-100,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,
Despesas pessoais:,,,,,,,,,,,,,,,,,,,,,,,,,
Celulares,,,,,,,,,,,,,,,,,,,,,,,,,
Bigode (Cadeiras),,-500,-500,-500,-500,-500,-500,,,,,,,,,,,,,,,,,,
Taxa jazigo,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Despesas com lazer:,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Despesas (outros):,,,,,,,,,,,,,,,,,,,,,,,,,
IPVA da Audi,,-547,-547,-547,-547,-547,,,,,,,,,,,,,,,,,,,
Licenciamento da Audi,,,,,,,,,"-245,83",,,,,,,,,,,,,,,,
IPVA da BMW,,,,,,,"-6160,9",,"-167,74",,,,,,,,,,,,,,,,
Licenciamento da BMW,,,,,,,,,,,,,,,,,,,,,,,,,